headline,link,text
"
HIV affected have a gala time
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-affected-have-a-gala-time/article16144184.ece,"Tuesday morning ushered in a wave of happiness in the lives of the people affected by HIV and AIDS under the care of Positive Network for People Living with HIV and AIDS. All the inmates did a double take when a group of lawyers and social workers tied rakhis around their wrists to mark the celebration of the Raksha Bandhan Day.,The programme was organised jointly by the District Legal Services Authority and the Positive Network for People Living with HIV and AIDS at the latter's office on the Vayalur road in the city. The lawyers and social workers conducted special games and competitions for the affected people in the morning, which drew a huge turnout.,In the evening, women advocates and social workers led by R. N. Manjula, Principal Sub-Judge and secretary of the District Legal Services Authority, tied the rakhis around the wrists of the affected men. Similarly, the affected women reciprocated by tying the rakhis around the hands of men advocates.,Ms. Manjula said Raksha Bandhan celebration is to express the unending bondage between brothers and sisters. Rakhi epitomizes the unconditional love between brothers and sisters. In a rebuff to those who discriminate people affected with HIV and AIDS, she said the Constitution itself upholds the dignity of both men and women.,Jayanthi Rani, a trained advocate for cases relating to the positive people living with HIV and AIDS, explained the legal rights of such hapless human beings. Awareness should be created among the normal people for helping the affected people, she pointed out .,Martin, an advocate and secretary of the District Consumer Federation, and others offered felicitations.,
,
"
"
Critical mass of research on HIV needs to be built up: expert
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Critical-mass-of-research-on-HIV-needs-to-be-built-up-expert/article16151014.ece,"The country needs to do a lot of technological research to prevent HIV infection and for this, young scientists and researchers are required.,This was the underlying message stressed by speakers at the inaugural function of a third national science symposium on HIV/AIDS at Taramani here on Monday.,The two-day symposium ‘HIV Science 2010' is being organised by non governmental organisation YRG CARE. Delivering the keynote address, R.S. Paranjape, Director, National AIDS Research Institute (NARI), Pune, said ethical practice is needed in the treatment of HIV infection. The efforts should be supported by research in the community and in the clinical field. He said the vaccines produced so far are not indigenous and new technological development needs research. “A critical mass of research in HIV has to be built. Symposiums such as these will bring capacity building and spur curiosity about HIV science,” Dr. Paranjape said.,Rajat Goyal, Country Director, International AIDS Vaccine Initiative, New Delhi said more investment should be made and the money must be spent smartly to ensure that more people get treated. Shambhu Kallolikar, Project Director, Tamil Nadu State AIDS Control Society, emphasised the importance of collaborative research. S.P. Thyagarajan, Pro-Chancellor (Research), Sri Ramachandra University, released abstracts of the symposium. He said work in HIV infection has come this far because of contribution of various minds, but a lot more hard work is required. Suniti Solomon, Founder-Director, YRG Care, said the symposium aimed at stimulating young people to get into research on HIV.,
,
"
"
Awareness campaign on HIV/AIDS
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Awareness-campaign-on-HIVAIDS/article16651487.ece,"Special Correspondent,SALEM: Collector J Chandrakumar flagged off mobile awareness campaign on HIV/AIDS in Salem district here on Monday.,The vans which will traverse through 20 blocks in the district will spread the campaign on the scourge among the villagers.,The awareness would mainly target the rural population.,Initiated by the Tamil Nadu State AIDS Control Society (TANSACS), it is a state-wide campaign that covers the districts of Kanyakumari, Tirunelveli, Virudhunagar, Madurai, Theni, Trichy, Namakkal, Salem, Dharmapuri and Nilgiris.,A total of 20 vans are pressed into service.,After flagging off the same, the Collector said that the district administration had been taking serious efforts to make the people aware of the ills of AIDS among the population. he said that nearly 180 villages would be covered under the campaign scheme.,The Collector also asked the representatives of non-governmental organisations, peer educators, counsellors, street theatre artists’ groups and volunteers to involve in the cause.,Those who spoke included District Revenue Officer M. Rajamanickam, Dr Arunachalam (Government Medical College Hospital, Salem) and others."
"
‘Prevention is the only way to stop the spread of AIDS’
",http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/lsquoPrevention-is-the-only-way-to-stop-the-spread-of-AIDSrsquo/article16639960.ece,"Special Correspondent,SHIMOGA: Deputy Rotary Governor Chandrahas P. Raikar said here on Thursday that the prevention through precautionary measures was the only way to stop the spread of HIV/AIDS.,Inaugurating a zonal level seminar on awareness about AIDS organised by Shimoga Mid Town Rotary Club, he said the fact that AIDS had been spreading rapidly in some parts of North Karnataka, including Belgaum district, should serve as a serious caution to people to initiate precautionary steps.,President of the Shimoga Mid Town Rotary Club B.S. Jagdish presided over the function.,Chairman of the Zonal AIDS Awareness and Prevention Programmes of the Rotary International District 3180 H.R. Umesh Aradhya, counsellor at Mcgann Hospital Manjunath and secretary of the Shimoga Mid Town Rotary Club Madanlal were present.,Mr. Jagdish welcomed the gathering.,College students and representatives of various organisations attended the seminar."
"
HIV/AIDS cases come down
",http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIVAIDS-cases-come-down/article16358755.ece,"VISAKHAPATNAM: The number of HIV positive and AIDS cases in the district has come down to an extent and more vigorous efforts must be made to bring the number further, Collector Sanjay Kumar said while inaugurating a two-day workshop being conducted by the AP AIDS Control Society here on Thursday. The number might have come down, but there was a possibility of people in remote areas were not aware of HIV and AIDS and there might be some patients also. Hence it was necessary to take up a vigorous campaign in all areas.,Every one must take part in the AIDS and HIV prevention programme and the apprehensions and fears among the people as well as inferiority complex among the positive people must be removed, Mr. Sanjay Kumar told the participants. Positive pregnant mothers must be given health food and medicines to stop HIV from spreading to their infants. Additional District Medical and Health Officer and District AIDS Control Officer P. Rajendra Prasad said the prevalence rate during last year was 0.40 per cent in the district according to the HIV Sentinel Surveillance report and did not increase from the previous year’s figure. (If a district records 0.40 per cent for three consecutive years, it would be brought down from A category to B category. The percentage was 1.76 during 2004).,He explained the various programmes being taken up in the district. Nearly 80 representatives from the Blood Suraksha, truck drivers, female sex workers, community care centres, ART Nodal Officers, and other related fields, District TB Control Officer B. Balasundara Rao, Assistant Project Director of DRDA P. Govinda Rao, Project Officer of ICDS Sunanda, Medical Officers and others participated."
"
Programme on AIDS awareness
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Programme-on-AIDS-awareness/article16624242.ece,"Nagercoil: To promote AIDS awareness among college students, a seminar was held here recently. More than 100 students participated in the seminar. Moses Paul, Red Ribbon Club district manager, and Beulah Rani, HIV-positive network member, shared their experiences. Various competitions were conducted. Winners received prizes sponsored by Tamil Nadu AIDS Control Society. College principal Rosalind spoke."
"
AIDS awareness
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/AIDS-awareness/article16624562.ece,"Staff Reporter,Nagercoil: To promote AIDS awareness among college students, a seminar was held here recently. More than 100 students participated in the seminar. Moses Paul, Red Ribbon Club district manager, spoke."
"
Expo to combat HIV/AIDS stigma
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Expo-to-combat-HIVAIDS-stigma/article16623567.ece,"CHENNAI: Making yet another bid to attack the stigma and discrimination associated with HIV/AIDS, the Indian Network of Positive Persons will organise an exhibition, ‘Positive Journey Through Life,’ here on April 29.,The project being put together by INP+ in collaboration with Family Health International, is part of a larger plan to strengthen national, state and district-level networks so that they can combat the stigma at all levels of society. The exhibition chronicles the lives of people living with HIV/AIDS, some of whom are on anti retro-viral therapy, in their own surroundings – at work and home.,The pictures, shot in Andhra Pradesh, Tamil Nadu and parts of Maharashtra, will be exhibited at The Park Hotel between 10 a.m. and 10 p.m. on Wednesday. — Special Correspondent"
"
Phase I prime-boost AIDS vaccine trial on
",http://www.thehindu.com/todays-paper/tp-national/Phase-I-prime-boost-AIDS-vaccine-trial-on/article16619231.ece,"R. Prasad,CHENNAI: The first volunteer for the Phase I prime-boost AIDS vaccine trial, which will have a duration of two years, has been enrolled by the Tuberculosis Research Centre (TRC) here.,“The first volunteer was enrolled on April 1,” said V.D. Ramanathan, Senior Deputy Director, TRC, who is one of the principal investigators. “The volunteer got the first of the four doses.”,
,
,The Modified Vaccinia Ankara (MVA) cleared Phase I trials at the TRC recently. Although it showed good immune response in all the volunteers who received it, the level of immune responses was modest and the persistence of the responses was not very encouraging.,Hence the decision to conduct a Phase II trial using MVA was dropped. Instead, a prime-boost vaccine trial strategy using MVA as a boost was considered. ADVAX, a DNA vaccine, will be the prime.,Using the MVA as a boost is based on the premise that it would be possible to boost the level of immune responses produced by ADVAX.,
,
,The trial will be conducted simultaneously at the National AIDS Research Institute and the TRC.,Thirty-two volunteers will be recruited — 16 each at NARI and the TRC. The 16 volunteers at each centre will be split into two arms of eight each.,One will get only MVA while the other will get ADVAX and MVA (prime-boost). Two volunteers in each will get a placebo.,Patricia Fast, Executive Director (Medical Affairs) of the International AIDS Vaccine Initiative, New York, had told The Hindu last year that ADVAX was tested in the U.S., and was found to be safe.,The trial has been registered at the Clinical Trials Registry – India. On the Net, it is at ,:8080/Clinicaltrials/ViewTrial.jsp?trialno=468"
"
Training of peer educators to curb AIDS stressed
",http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/Training-of-peer-educators-to-curb-AIDS-stressed/article16363194.ece,"Staff Reporter,
,
,
,
,
,
,
,
,BHUBANESWAR: In a bid to contain spreading of HIV/AIDS epidemic, Orissa State AIDS Control Society (OSACS) was emphasising on training of peer educators (PEs) who could convince people about safe practices.,At the three-day State level peers’ conference that concluded here on Friday, OSACS project director Parameswar Swain laid stress on strengthening the outreach activities by primarily engaging peers in self assertiveness and responsible action for mobilising community and networking across the project area.,
,
,More than 200 peers from across the State participated in the conference and shared their experience.,Behaviour Change Communication (BCC) is an important tool prescribed in National AIDS Control Programme, Phase-II (NACPII) to bring about perceptible change among vulnerable section of population.,“PE led outreach activity could help in increased identification of vulnerable groups, saturation of the coverage and access to services. This also establishes as a norm for the involvement of the community in making decisions for all activities concerning them,” Mr. Swain said.,He said the conference would be beneficial in building organic linkages among the members of the community and among core population like female sex workers, men having sex with men and different targeted intervention projects under OSACS.,“The process of community mobilisation and involvement would increase the responsibility and accountability of community members in managing HIV/ AIDS prevention project,” OSACS project director said.,Among others Bhagaban Prasad consultant National AIDS Control Organisation, Basanta Mohanty State director of international voluntary organisation, CARE and A. K. Sen from UNICEF were present on the occasion."
"
For effective control of AIDS
",http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/For-effective-control-of-AIDS/article16628532.ece,"P. Sujatha Varma,
,
,
,
,
,
,VIJAYAWADA: Come April and officials engaged in a fierce battle to control the spread of HIV/AIDS in Krishna district will find themselves better equipped to carry on the fight.,Recognising that the magnitude of the epidemic cannot be managed centrally, the National AIDS Control Organisation (NACO) decentralised the programme at the time of the implementation of National AIDS Control Programme (NACP) to the State AIDS Control Societies (SACS). The NACO’s decision to further decentralise the programme during NACP-III has given birth to District AIDS Prevention and Control Units (DAPCUs).,“This is aimed at optimisation of scarce resources and the provision of seamless services to those in need of medical assistance at the grass-root level and also for ensuring long term sustainability of the interventions,” says T.V.S.N. Sastry, Additional District Medical & Health Officer and AIDS and Leprosy Officer for Krishna district.,The DAPCU, which will come into existence in Krishna district from April 1, will have the freedom to design need-based programmes based on the prevailing local circumstances. Under the DAPCU, the district will form health societies with the Collector as chairman.,“As far as Krishna district is concerned, the DAPCU will focus on the patients put on anti-retroviral therapy (ART),” says Mr. Sastry, informing that besides the existing ART centre on the premises of Siddhartha Medical College, one more centre would come up at Machilipatnam by March. “This will reduce the burden on the centre at Vijayawada. We have also asked for establishment of link centres at Gudivada and Nuzvid,” he says, explaining that once that happens, people will not have to travel long distance for treatment as the nearest local centre will take care of their medical needs. Krishna district currently has 4,500 HIV positive people put on ART.,
,
,For effective treatment of sexually transmitted infections, new STI clinics (total nine in the district) are also coming up. “The government is ready to provide the STI kits to even private clinics. STI clinics will have separate counsellors, infrastructure and a whole new set-up to exclusively focus on the problem,” he says.,Speaking about the general scenario in the district, Mr. Sastry says there has been a steady decline in the ‘positive’ cases in the last five years. “Our aim is to bring it to zero level. The sharp decline in HIV positive cases among antenatal to 1.6 per cent against 7.2 per cent five years ago gives us a bright ray of hope,” he says optimistically."
"
State Information Centre on HIV/AIDS inaugurated
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/State-Information-Centre-on-HIVAIDS-inaugurated/article16605641.ece,"Special Correspondent,CHENNAI: State Information Centre on HIV/AIDS was inaugurated by Health Minister M.R.K.Panneerselvam at the office of the Tamil Nadu State AIDS Control Society here, on Friday.,TANSACS, along with its partners, has put together a library containing various types of awareness materials. The Society’s own publications, and flipcharts, research studies including periodic surveillance reports produced in collaboration with the AIDS Prevention and Control Project and the Tamil Nadu AIDS Initiative, Voluntary Health Services, including the periodic surveillance reports, handbills, and audio-visual equipment are on display. Visitors can use the materials placed there for reference and information, but can also take away materials which they can use to generate awareness in their areas. Audio-visual tools have also been placed at the centre for the use of visitors.,V.K.Subburaj, principal secretary, Health and S.Vijayakumar, project director, TANSACS, were present during the inaugural function."
"
AIDS Week observed
",http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/AIDS-Week-observed/article16602574.ece,"Staff Reporter,Srikakulam: Field Publicity Officer G. Kondala Rao has advised women to strictly adhere to health codes during pregnancy and take nutritious food to deliver healthy babies.,Participating in a series of programmes organised by the Youth Club of Bejjipuram at Narasannapeta and in sorrounding villages in connection with the Global AIDS Week near here on Sunday, Dr. Kondala Rao asked women particularly in rural areas to utilise the services of the government hospitals and deliver their babies under the strict supervision of qualified medical doctors and health personnel.,He also created awareness to women on various subjects and laws relating to women and female infanticide etc.,At a seminar organised for the Youth, Dr. Kondala Rao exhorted the youth to have aims and ambitions in life. Quiz competition on national integration was conducted for the youth at Pedaburuguvalasa in Narsannapeta mandal.,Sarpanch Behera Hymavathi gave away prizes to winners of the competition.,Participating in a women’s meet in which women of self- help groups were involved, Dr. Kondal Rao appealed to women to bring up their children in an unbiased manner and not discriminate between boys and girls on education and other social upbringing etc.,
,
,BSNL Srikakulam district is organising its customers’ meet on May 25 from 10 am to 1 pm at the following centres. At Narsannapeta the customers meet will be held at the local SDE, Narsannapeta office and in Srikakulam town at the DE urban office, opposite the SRMT office.,In Tekkali, Rajam, Palakonda, Sompeta, Pathapatnam and Ichapuram towns the meetings will be held at the local SDE group offices while at Palasa and at Amudalavalasa towns the customers’ meet is being organised at the DE Telecom office and SDO Telecom offices respectively. In Srikakulam the meet will also be held at the Telecom General Manager’s office."
