headline,link,text
New HIV strain discovered in a woman from Cameroon,"(['http://www.thehindu.com/todays-paper/tp-features/tp-sci-tech-and-agri/New-HIV-strain-discovered-in-a-woman-from-Cameroon/article15951531.ece'],)","From gorillas?: The HIV virus strain appears to be closely related to a strain recently discovered in wild gorillas.
 
| Photo Credit: , ,A new strain of the virus that causes AIDS has been discovered in a woman from the African nation of Cameroon.,It differs from the three known strains of human immunodeficiency virus and appears to be closely related to a form of simian virus recently discovered in wild gorillas, researchers report in Monday’s edition of the journal Nature Medicine.,The finding “highlights the continuing need to watch closely for the emergence for new HIV variants, particularly in western central Africa,” said the researchers, led by Jean-Christophe Plantier of the University of Rouen, France.,The three previously known HIV strains are related to the simian virus that occurs in chimpanzees.,
,
,The most likely explanation for the new find is gorilla-to-human transmission, Plantier’s team said. But they added they cannot rule out the possibility that the new strain started in chimpanzees and moved into gorillas and then humans, or moved directly from chimpanzees to both gorillas and humans.,The 62-year-old patient tested positive for HIV in 2004, shortly after moving to Paris from Cameroon, according to the researchers. She had lived near Yaounde, the capital of Cameroon, but said she had no contact with apes or bush meat, a name often given to meat from wild animals in tropical countries.,The woman currently shows no signs of AIDS and remains untreated, though she still carries the virus, the researchers said.,How widespread this strain is remains to be determined. Researchers said it could be circulating unnoticed in Cameroon or elsewhere. The virus’ rapid replication indicates that it is adapted to human cells, the researchers reported.,
,
,A separate paper, also in Nature Medicine, reports that people with genital herpes remain at increased risk of HIV infection even after the herpes sores have healed and the skin appears normal.,The researchers found that long after the areas where the herpes sores existed seem to be clear, they still have immune-cell activity that can encourage HIV infection.,Herpes is marked by recurring outbreaks and has been associated with higher rates of infection with HIV. It had been thought that the breaks in the skin were the reason for higher HIV rates, but a study last year found that treatment of herpes with drugs did not reduce the HIV risk.,
,
,The researchers tested the skin of herpes patients for several weeks after their sores had healed and found that, compared with other genital skin, from twice to 37 times more immune cells remained at the locations where the sores had been.,“Understanding that even treated (herpes) infections provide a cellular environment conducive to HIV infection suggests new directions for HIV prevention research,” commented Dr. Anthony S. Fauci, director of the National Institute of Allergy and Infectious Disease. — AP"
HIV cases on the rise,"(['http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-cases-on-the-rise/article15578581.ece'],)","As many as 815 new cases of HIV/AIDS have been recorded in Dakshina Kannada district from January to October this year, Project Officer of the District AIDS Prevention and Control unit Kishore Kumar said here on Wednesday.,Mr. Kumar, who addressed an AIDS awareness programme organised by the Department of Health and Family Welfare, said these included 528 men and 287 women. District Health Officer O. Shrirangappa, who inaugurated the event, said since 2002, the district had registered 7,901 HIV positive cases. Of these, 490 people had died.,He said 2,689 people had been getting anti-retroviral treatment (ART) from the centre in Wenlock Hospital since 2006.,Of these, 1,572 were men, 884 women, and 233 children, he added.,Mr. Shrirangappa said the prevalence rate for the condition was 0.75 per cent; 0.86 per cent for the State and 0.69 per cent for the country. Delivering the presidential remarks, the School of Social Work Principal Roshni Nilaya Jacintha D'Souza said creating awareness and using preventive measures were important to control the spread of the condition. She stressed on the importance of the support system to help the families of the infected persons accept the family member."
HIV cases on the rise,"(['http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-cases-on-the-rise/article15578581.ece'],)","LIGHTING THE LAMP: District Principal and Sessions Judge L. Subramanya inaugurating the World AIDS Day programme in Bijapur on Wednesday.
 
,It is the responsibility of every individual in society to ensure that HIV/AIDS affected people are brought to the mainstream of society by making sustained efforts to convince them not to hesitate in approaching doctors for better treatment, said District Principal and Sessions Judge L. Subramanya.,Speaking after inaugurating a World AIDS Programme organised by the District Bar Association, the district administration and the Department of Health and Family Welfare here on Wednesday, he said that people should change their attitude towards the affected people as they need proper guidance and encouragement to fight the stigma.,Instead of remembering these affected people only during the AIDS Day programmes, the district administration as well as private organisations should conduct programmes at regular intervals to create awareness among rural folks on the medical facilities available for the affected people.,Deputy Commissioner S.S. Pattanshetty said that the major reason behind the fast growth of HIV/AIDS in the district was the hesitation among the affected people to approach doctors for treatment.,These people can live for longer period if they take proper treatment, he said.,He also appealed to people to treat affected patients with dignity and help boost their confidence to approach doctors and take proper treatment. “The affected people can live for more than 25 years, if they take proper treatment and become mentally strong,” he said.,Expressing concern over the “negligent attitude” of some doctors towards treating affected people in the district, he appealed to doctors not to refuse treatment to affected people as it would further discourage the patients.,Another major factor that is contributing for the spread of HIV/AIDS in the region was the blind adoption of the western culture by the youth.,“It is the responsibility of teachers to guide students in the right direction and create awareness among them about the dos and don'ts apart from teaching regular syllabus,” he added.,In the evening, a procession of government officials, non-government organisations, school and college students was taken out from Gandhi Chowk to create awareness among the general public about HIV/AIDS.,Superintendent of Police D.C. Rajappa, District Bar Association president S.N. Math, District Surgeon R.M. Sajjan and District Health and Family Welfare Officer H. Jagannath were present."
HIV +ve lack legal awareness: NGOs,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-ve-lack-legal-awareness-NGOs/article16357357.ece'],)","Special Correspondent,GUNTUR: The legal community must act with a human face while dealing with cases related to people living with HIV-positive status as their life span was limited and were victims of social stigma, opined speakers at a day-long sensitisation programme here on Friday.,A Legal Aid Clinic started in Krishna and Guntur districts as a pilot project by the UNDP and APSACS in April 2008 had resulted in at least 85 cases being registered but 35 of them are yet to be solved. The speakers sought an active support from media houses to expose the gross injustice being meted out to the positive people and people supposed to support them socially should become aware of rights of the disadvantaged.,The Telugu Network of People Living with HIV/AIDS Andhra Pradesh State Programme manager G. Jagadish Kumar said that 1.5 lakh people all over the state were registered with the network.,Only six lawyers in Guntur district were cooperating with positive people, said Mr. Ramesh Babu the coordinator of the Positive People. The Society for welfare of HIV Infected People president A. Ramadevi said majority of legal problems faced by positive people were related to share in property.,One of the lawyers at the DSLA E. Uma Devi said things had come to such a pass that in some families young widows were being blamed for the death of husband and denied treatment. In villages girls from poor families were being cheated by asking to marry an HIV +ve man with a promise on a Rs.50 stamp paper, to give them one acre of land based on which she could survive even if the man died. This promise on the stamp paper was not valid later the widows were being sexually and socially exploited, said Mehboob Subhani, district coordinator of Family Health International."
Community care centre for HIV/AIDS patients,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Community-care-centre-for-HIVAIDS-patients/article16343838.ece'],)","Staff Reporter,
,
,COIMBATORE: Isha Foundation along with the Tamil Nadu State AIDS Control Society (TANSACS) recently opened a community care centre at Palladam for people living with HIV/AIDS.,Inaugurating the centre, S.Vijayakumar, Project Director of TANSACS, urged HIV positive people to make use of the facilities offered at the centre.,He said that the centre would benefit more than 2,000 people living with the disease.,The centre would offer medical treatment as well as facilities for consultations on illnesses related to HIV/AIDS.,Treatment of opportunistic infections would also be possible.,
,
,The 10-bed ward for in-patient care would also act as a link to other Government and private hospitals, drop-in centres, clinics for sexually transmitted infection, family planning clinics, faith-based organisations and other service providers.,Counselling services for patients on issues such as drug adherence, nutrition, use of contraceptives and positive living would be offered too.,
,
,The other activities of the centre would include advocating against social stigma, helping those in need of legal support, offering vocational guidance, recreational activities and spiritual programmes.,A team of doctors, nurses, trained counsellors and outreach workers had been appointed.,For details regarding the centre, call 9840804496."
The untold story of HIV positive children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece'],)","On the eve of World AIDS Day, a photo exhibition lending a voice to the untold story of neglect and discrimination of HIV positive children opened at British Council here on Tuesday.,Bangalore-based photographer Srikanth Kolari, whose images focus on a range of social, political and economic issues including the struggles of seasonal migrant workers and sex workers, has come out with a collection of nearly two dozen images in black and white and colour. The photographs capture the vulnerability and denial of rights that the children face every day.,
,
,As the media ethics demand that any representation of positive children should not be done without revealing their identity, the exhibition “Suffering Silence: Untold Story of Orphan HIV + Children” uses this challenge to use creative ways to tell the story and connect without compromising on the important message.,According to ActionAid, which is hosting the exhibition in association with British Council, India has a long way to go in ensuring the health and human rights of the poor and vulnerable. Poverty, gender inequalities, violence against women, trafficking, migration and disasters are all fuelling the epidemic.,While inadequate nutrition weakens the body, expensive medicines and poor government health systems make quality treatment out of reach for the majority, particularly in rural areas. Parents die in their prime and even orphaned children are not spared the stigma and discrimination that is often more vicious than the disease.,“Recent years have seen a disturbing trend of rising new infections in women, young people and children, pointing to the epidemic spreading to the general population and in rural areas,” said the non-government organisation.,The exhibition is on view till December 6."
Critical mass of research on HIV needs to be built up: expert,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Critical-mass-of-research-on-HIV-needs-to-be-built-up-expert/article16151014.ece'],)","The country needs to do a lot of technological research to prevent HIV infection and for this, young scientists and researchers are required.,This was the underlying message stressed by speakers at the inaugural function of a third national science symposium on HIV/AIDS at Taramani here on Monday.,The two-day symposium ‘HIV Science 2010' is being organised by non governmental organisation YRG CARE. Delivering the keynote address, R.S. Paranjape, Director, National AIDS Research Institute (NARI), Pune, said ethical practice is needed in the treatment of HIV infection. The efforts should be supported by research in the community and in the clinical field. He said the vaccines produced so far are not indigenous and new technological development needs research. “A critical mass of research in HIV has to be built. Symposiums such as these will bring capacity building and spur curiosity about HIV science,” Dr. Paranjape said.,Rajat Goyal, Country Director, International AIDS Vaccine Initiative, New Delhi said more investment should be made and the money must be spent smartly to ensure that more people get treated. Shambhu Kallolikar, Project Director, Tamil Nadu State AIDS Control Society, emphasised the importance of collaborative research. S.P. Thyagarajan, Pro-Chancellor (Research), Sri Ramachandra University, released abstracts of the symposium. He said work in HIV infection has come this far because of contribution of various minds, but a lot more hard work is required. Suniti Solomon, Founder-Director, YRG Care, said the symposium aimed at stimulating young people to get into research on HIV.,
,
"
"Pension for toddy tappers, HIV patients","(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Pension-for-toddy-tappers-HIV-patients/article16566479.ece'],)","HYDERABAD: The government has taken a decision to sanction pensions to toddy tappers and HIV/AIDS patients from this year. Disclosing this in the Legislative Council on Thursday, Rural Development Minister V.Vasantha Kumar said that about one lakh toddy tappers and 40,000 HIV positive patients would get a pension of Rs.200 per month. He however said that in the case of pensions for disabled, some persons were producing false certificates and claiming pensions. The government would check this, he added. -Special Correspondent"
HIV Children,"(['http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/HIV-Children/article15579237.ece'],)","‘Suffering Silence: Untold story of orphan HIV + children', a stunning collection of images and stories of HIV positive children by Srikanth Kolari. (an action aid exhibition to mark the World Aids Day).,
, British Council, K.G. Marg,
, Till December 6,
, 11 a.m. to 7 p.m."
The untold story of HIV positive children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece'],)","There is an urgent need to involve elected representatives, especially women at the gram panchayat and taluk panchayat levels to conduct awareness programmes on HIV/AIDS, according to Ravi Kittur, a social worker and councillor at the ART Centre in Bijapur district hospital.,Mr. Kittur attributes high prevalence of HIV/AIDS in a large number of people in Bijapur and Bagalkot districts to the ignorance of the people owing to high rate of illiteracy. He adds that once people come to know that they are HIV positive, they become introverts and refuse to talk about it in public. He underlines the need for initiating a discussion on the subject at the grassroots level so that its spread can be contained.,As per the Human Development Index report of Bijapur district, the number of HIV affected people in the district in 2005 was 2,887 of which 247 cases were from Basavan Bagewadi, 2,418 from Bijapur, 133 from Indi, 58 from Muddebihal and 30 from Sindagi taluk. Though Bagalkot district is a model in the country as far as Interventions for High Risk Groups are concerned, HIV prevalence among the general public is high. The early interventions in Bagalkot district in the form of India Canada Collaborative HIV AIDS project (ICHAP) and later by Karnataka State AIDS Prevention Society (KSAPS) and Karnataka Health Promotion Trust (KHPT) saw that the programmes for high risk groups saturated. The prevalence among sex workers has come down to six per cent in Mudhol and Jamakhandi taluks but the HIV prevalence among the bridge population is 41 percent and it is a little more than 50 per cent in the general population which is a cause for concern, according to experts.,Keeping this in view, the KSAPS had launched a door-to-door campaign in the month of August this year by involving actors and cricketers. Mr. Kittur says that he has taken the initiative to bring together sex workers in Bijapur district so that they can unitedly fight the spread of AIDS by way of becoming aware of safe sex practices and availing themselves of services to prevent sexually transmitted diseases."
Major political parties vow to fight HIV/AIDS,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Major-political-parties-vow-to-fight-HIVAIDS/article16339067.ece'],)","Staff Reporter,GUNTUR: Media could play a pro-active role in ending the discrimination being shown to HIV/AIDS affected persons by publishing inspiring stories and articles on denial of health care, marital rights, employment and family support, speakers observed at the District Media Consultation on HIV/AIDS and NACP- 111 held here on Saturday.,Additional DMHO B. Rama Devi, representatives from Centre for Advocacy and Research (CFAR), media personnel and representatives of various NGOs shared their views and experiences over the current programmes.,At the end of day-long consultations, they agreed that there was a need to scale up the medical and community services, improve the quality of health care, disseminate information on recent advances in the treatment of HIV/AIDS in rural areas and play the role of a watch dog on various intervention programmes being taken up by the Government and the NGOs effectively.,Representatives of NGOs and APSACS agreed to conduct media tours to enable broad study on various issues, including communities, ART centres in various parts of the State. The Additional DM&HO said that the extension of the ART centres is on the cards and an ART centre at Tenali would be set up shortly.,She added that there were proposals to start providing second line ART drugs to affected persons and highlighted various points in the National Aids Control Programme-111.,Advocacy expert from United Kingdom, Lizjoles said that media in India has done an enormous service in writing about the issues relating to HIV/AIDS and said that media personnel should keep themselves abreast of various recent studies and developments in treating the infection. Journalists could also write about the support-systems being provided to HIV/AIDS affected persons, the role of State in integrating the affected into the main stream etc.,Senior Journalist from Vijayawada, Ch. Satish shared his experiences in writing about MSMs, while representatives of NGOs appealed to media to be more sensitive while reporting stories on HIV/AIDS affected persons. The INP+ coordinator Jagadish, Seeds director Roshan Kumar, journalist Naren were present."
